candidate	claim_id	mechanistic_claim	evidence_level	direct_or_indirect	breast_cancer_specific	ER_positive_specific	tamoxifen_specific	endocrine_resistance_specific	experimental_perturbation	model_system	direction_of_effect	supports_project_hypothesis	contradicts_project_hypothesis	PMID	DOI	year	journal	paper_title	exact_evidence_summary	limitations	review_or_primary	fully_verified_primary_text	is_candidate_specific
CITED2	CITED2-01	CITED2 upregulation was selected for during acquisition of tamoxifen resistance in a breast cancer cell model (retroviral insertional mutagenesis), but high CITED2 mRNA in patients associates with LONGER metastasis-free survival and GREATER clinical benefit from tamoxifen -- an internal contradiction the authors could not resolve.	1	direct	True	True	True	True	retroviral insertional mutagenesis screen selecting resistant ZR-75-1 clones; correlative expression/outcome analysis in 2 independent patient cohorts	ZR-75-1 ER+ breast cancer cell line (69 tamoxifen-resistant derivatives); 620 lymph-node-negative primary tumors; 296 advanced-BC patients on 1st-line tamoxifen	contradictory within the paper: cell-model selection favors CITED2 up in resistance; clinical outcome data show CITED2 up = better MFS (HR=0.71,p=0.017) and better tamoxifen benefit (OR=1.91-2.20, p<=0.017)	False	False	19904269	10.1038/sj.bjc.6605423	2009	British Journal of Cancer	CITED2 and NCOR2 in anti-oestrogen resistance and progression of breast cancer	Cell lines with viral integration at the CITED2 locus showed strongly increased CITED2 mRNA. Multivariate MFS HR=0.71 (p=0.017, favorable). Tamoxifen-benefit OR=1.91 multivariate (p=0.017), OR=2.20 univariate (p=0.001), both favoring high CITED2. Authors: transfection experiments to directly confirm causality were 'not yet successful.'	Correlative clinical data cannot establish causation; cell-selection and clinical-outcome results point in opposite directions, unreconciled by authors.	primary	True	True
CITED2	CITED2-02	CITED2 overexpression increases ligand-independent ER transcriptional activity and reduces 4-hydroxytamoxifen growth-inhibitory sensitivity in ER+ breast cancer cell lines.	2	direct	True	True	True	False	stable retroviral CITED2 overexpression vs empty vector; ERE-luciferase reporter; qRT-PCR (TFF1/PGR); ChIP; MTS proliferation +/- 1uM 4-OHT	MCF-7, T47D, CAMA-1 (ER+ human breast cancer lines)	CITED2 overexpression -> increased ER activity, estrogen-independent growth, reduced 4-OHT sensitivity	True	False	23811274	10.1016/j.bbrc.2013.06.063	2013	Biochemical and Biophysical Research Communications	CITED2 Modulates Estrogen Receptor Transcriptional Activity in Breast Cancer Cells	'reduced sensitivity to the growth inhibitory effects' of 4-OHT in CITED2-overexpressing cells; 2-4 fold increase in ER transcriptional activity without estrogen; CITED2 mRNA elevated in 3/8 ER+ tumors from patients with <5-year survival vs 0/11 with >5-year survival.	Small clinical subset (n=19), no formal statistics on the survival association; overexpression-only design (no knockdown arm); short-term drug-sensitivity assay, not an acquired-resistance model.	primary	True	True
CITED2	CITED2-03	CITED2 is an independent adverse prognostic factor in breast carcinoma and drives chemoresistance to epirubicin/5-FU by suppressing p53 accumulation; CITED2 is inversely correlated with ER status in this cohort.	2	direct	True	False	False	False	CITED2 plasmid overexpression and siRNA knockdown; epirubicin/5-FU/paclitaxel viability assays; p53 Western blot after 5-FU	109-patient (+56 validation) IHC cohort; MCF-7 (ER+) and SKBR-3 (ER-/HER2+) cell lines	CITED2 up -> more proliferation, more chemoresistance to epirubicin/5-FU (not paclitaxel), less p53 accumulation; inversely correlated with ER status (p=0.033)	True	False	27627783	10.1111/cas.13081	2016	Cancer Science	CITED2 in breast carcinoma as a potent prognostic predictor associated with proliferation, migration and chemoresistance	CITED2 'significantly associated with increased incidence of recurrence and breast cancer-specific death,' independently prognostic for DFS (p=0.0036). 'CITED2 causes chemoresistance of breast carcinoma through inhibition of p53-dependent apoptosis.' Wound-healing assay showed CITED2 overexpression DECREASED migration -- authors flag this as paradoxical.	High-CITED2 tumors skew ER-negative/HER2+ in this cohort, limiting direct ER+/tamoxifen relevance; chemoresistance shown is cytotoxic-chemotherapy, not endocrine therapy; migration result internally paradoxical.	primary	True	True
CITED2	CITED2-04	CITED2 knockdown reduces breast cancer cell migration, invasion, and bone/brain metastasis via IKKa/NF-kB signaling, without affecting proliferation.	2	direct	True	False	False	False	lentiviral shRNA CITED2 knockdown (>75%); transwell migration/invasion; intracardiac xenograft metastasis; ChIP on IKKa promoter; IKKa rescue	MDA-MB-231, MDA-MB-468 (ER-negative basal lines); athymic nude mice	CITED2 knockdown -> reduced migration/invasion/bone metastasis, no proliferation change; IKKa restoration rescues invasiveness	True	False	27216153	10.1158/1541-7786.MCR-16-0081	2016	Molecular Cancer Research	CITED2 Modulates Breast Cancer Metastatic Ability Through Effects on IKKa	shCITED2 cells: 'significantly reduced metastasis to bone' and 'similar growth rate to that of scramble cells.' ChIP: CITED2 localizes to the IKKa promoter.	ER-negative basal lines only -- cannot be extrapolated to ER+/luminal or endocrine-therapy biology without further evidence.	primary	True	True
CITED2	CITED2-05	CITED2 knockdown reduces primary breast tumor growth and vessel formation by reducing TGF-beta-induced VEGFA expression, in a Smad4-dependent (not universal) manner.	2	direct	True	False	False	False	lentiviral shRNA CITED2 knockdown (>60%); orthotopic mammary fat pad xenograft; TGF-beta stimulation; ChIP on VEGFA promoter	MDA-MB-231 (Smad4-functional) and MDA-MB-468 (Smad4-null), both ER-negative; nude mice	CITED2 knockdown -> reduced tumor volume, vessel area, VEGFA121/165/189 -- effect only in the Smad4-functional line	True	False	28008154	10.18632/oncotarget.14048	2016	Oncotarget	Down-regulation of CITED2 attenuates breast tumor growth, vessel formation and TGF-beta-induced expression of VEGFA	Effect entirely dependent on functional Smad4 -- no vascularization/VEGFA change in the Smad4-null line, showing this is context-dependent, not universal.	ER-negative only; no endocrine-therapy angle tested; context-dependent (Smad4 status) effect.	primary	True	True
CITED2	CITED2-06	CITED2 physically bridges TFAP2 (AP-2) family transcription factors to the p300/CBP CH1 domain, binding the conserved AP-2 dimerization domain to enable coactivator recruitment.	3	direct	False	False	False	False	co-immunoprecipitation, GST pulldown, transfection/reporter assays	U2-OS (human osteosarcoma) cells and in vitro biochemistry	CITED2 binds TFAP2A/B/C dimerization domain and bridges to p300/CBP CH1, enabling p300/CBP coactivation of TFAP2A-driven transcription	True	False	12586840	10.1074/jbc.M208144200	2003	Journal of Biological Chemistry	Physical and Functional Interactions among AP-2 Transcription Factors, p300/CREB-binding Protein, and CITED2	p300, TFAP2A, and endogenous CITED2 co-immunoprecipitate from transfected U2-OS cells, 'indicating that they can interact physically in vivo'; CITED2 interacts with the AP-2 dimerization domain.	Non-breast, non-cancer developmental biology system; full text paywalled -- mechanistic detail from secondary aggregation, bibliographic identity cross-verified via Semantic Scholar API.	primary	False	True
CITED2	CITED2-07	CITED2's transactivation domain structurally displaces HIF-1a from an overlapping binding site on the p300/CBP CH1 domain -- the structural basis for CITED2 as a HIF-1 negative-feedback regulator.	3	direct	False	False	False	False	solution NMR structure determination of the CITED2-TAD/p300-CH1 complex; competition binding assays	purified recombinant protein domains, in vitro biophysics	CITED2 TAD folds on p300 CH1 and directly displaces HIF-1a C-TAD	True	False	12778114	10.1038/nsb936	2003	Nature Structural Biology	Structural basis for negative regulation of hypoxia-inducible factor-1alpha by CITED2	'the CITED2 TAD disrupts a complex of the HIF-1a C-TAD and the CH1 domain of p300/CBP by binding CH1 with high affinity... a conserved LPXL sequence motif in CITED2 and HIF-1a interacts with an overlapping binding site on CH1.'	Pure structural/biochemical study, no cellular or cancer context whatsoever.	primary	True	True
CITED2	CITED2-08	Under hypoxic stress, FOXO3a is activated and transcriptionally induces CITED2, which suppresses HIF1-induced pro-apoptotic target genes (NIX, RTP801), promoting survival -- demonstrated in breast cancer cells as well as fibroblasts.	2	direct	True	True	False	False	FOXO3a knockdown/activation; CITED2 transcriptional induction measured; hypoxia exposure; apoptosis (NIX/RTP801) readouts	fibroblasts and breast cancer cells	FOXO3a activation -> CITED2 induction -> reduced HIF1-driven apoptosis (pro-survival)	True	False	18158893	10.1016/j.molcel.2007.10.035	2007	Molecular Cell	FOXO3a is activated in response to hypoxic stress and inhibits HIF1-induced apoptosis via regulation of CITED2	Verbatim abstract: 'In fibroblasts as well as in breast cancer cells, FOXO3a inhibits HIF1-induced apoptosis by stimulating the transcription of CITED2, which results in reduced expression of the proapoptotic HIF1 target genes NIX and RTP801.'	Study perturbs FOXO3a, not CITED2, directly; specific breast cell-line identity and quantitative details from secondary aggregation, abstract text directly verified via NCBI eutils.	primary	False	True
CITED2	CITED2-09	CITED2 recruits p300 to promote MYC-driven transactivation of E2F3 and suppression of p21CIP1, acting as a proliferation/quiescence switch; a CITED2/MYC/E2F3/p21 signature predicts poor lung cancer prognosis.	3	direct	False	False	False	False	lentiviral CITED2 knockdown/overexpression; MYC/EGFR/p21 co-manipulation; subcutaneous+orthotopic xenografts; doxycycline-inducible knockdown	A549, H1975, CL1-0/CL1-5, H1299 lung cancer lines; nude mice; 72 NSCLC patient samples	CITED2 up -> E2F3 up, p21 down, G1/S progression, tumor growth; knockdown -> G1/S arrest, tumor shrinkage, increased mouse survival (p=0.0004); CITED2-positive patients had worse OS	True	False	22814619	10.1038/cdd.2012.91	2012	Cell Death & Differentiation	CITED2 functions as a molecular switch of cytokine-induced proliferation and quiescence	'CITED2 interacts with MYC's C-terminus and recruits p300 to promote MYC-p300-mediated transactivation of E2F3'; knockdown 'significantly decreased the growth of orthotopically implanted lung tumors and increased the overall survival rate of recipient mice (P=0.0004).'	Entirely a lung cancer (NSCLC) system -- no breast cancer line tested; the only substantive CITED2-E2F link found in any cancer type.	primary	True	True
CITED2	CITED2-10	CITED2 acts as a molecular chaperone guiding PRMT5 and p300 to nucleolin, activating a nucleolin-AKT translational axis that drives prostate cancer EMT and metastasis.	3	direct	False	False	False	False	siRNA/shRNA knockdown and overexpression of CITED2; orthotopic xenograft	PC3, DU145, VCaP, LNCaP, C42B, 22RV1 (prostate cancer lines); HEK293T	CITED2 overexpression -> increased AKT translation (via nucleolin), increased EMT/migration, enhanced xenograft metastasis; correlates with poor survival and Gleason score	True	False	30291252	10.1038/s41467-018-06606-2	2018	Nature Communications	Aberrant expression of CITED2 promotes prostate cancer metastasis by activating the nucleolin-AKT pathway	'CITED2 acts as a molecular chaperone to guide PRMT5 and p300 to nucleolin, thereby activating nucleolin'; xenograft metastasis 'significantly enhanced by CITED2 overexpression.'	Prostate cancer, not breast -- related-mechanism context only.	primary	True	True
