dimension	USP34	VEZF1	notes
Functional tamoxifen evidence	sensitising_KO, effect=-1.391, FDR=0.0417 (frozen Hany screen)	sensitising_KO, effect=-1.602, FDR=0.0373 (frozen Hany screen)	Both frozen and significant; VEZF1's FDR is nominally lower.
Baseline cancer dependency (DepMap 26Q1)	0.0% ER+/luminal strongly dependent, D_LOW	27.3% ER+/luminal strongly dependent, B_MODERATE_DEPENDENCY_CONCERN	Frozen, unrerun. This is VEZF1's key differentiator (dual-action hypothesis).
Human tumor support (TCGA)	ER+ adjusted HR/SD=1.40 [1.10,1.77], p=0.0062, FDR=0.0249, n=568 (frozen)	see frozen four_candidate_independent_validation.tsv (not altered this phase)	Not rerun; carried forward from frozen tables.
Mechanistic support	MODERATE-LOW: real Axin/Wnt biology (PMID 21383061) but never tested in breast tissue; directionally contradicted by a separate mammary-epithelium paper (PMID 28499884)	LOW for a resistance-specific mechanism; MODERATE for VEZF1 being a genuine non-generic angiogenic TF; NEW this pass -- a real cardiac-muscle mechanism (PMID 31911272) exists but is not breast-cancer-relevant	Neither has a breast/tamoxifen-validated mechanism; frozen literature_mechanism verdicts carried forward.
Direct druggability	POTENTIALLY_DRUGGABLE -- real catalytic-domain structures (7W3R/7W3U), defined 2-state mechanism, zero existing chemical matter	CURRENTLY_POORLY_DRUGGABLE -- no experimental structure, one weak unoptimized tool-compound series (IC50 20-500uM)	USP34 has the stronger structural handle of the two.
Indirect druggability	THIN -- no genuine perturbation-based regulator identified in this pass; AXIN1/UBQLN1/CSNK1A1/BPTF do not clear the bar	THIN BUT LESS THIN -- TEAD1 is an UNVALIDATED hypothesis (a binding-partner report in cardiac tissue, with no perturbation evidence that TEAD1 regulates VEZF1) that happens to be druggable (pan-TEAD, not TEAD1-specific) AND independently significant in this project's own resistance-RNA data (GSE118713 FDR=0.015, GSE240112 FDR=0.046)	TEAD1 is VEZF1's most promising CANDIDATE for future testing from this phase, not a validated lead -- the VEZF1-TEAD1 mechanistic link is unconfirmed in any cancer context, let alone breast cancer specifically (see Part 9).
Normal-tissue expression	broad, low-specificity, all 54 GTEx tissues expressed	broad, low-specificity, most GTEx tissues expressed	Similar breadth; neither is tissue-restricted.
Normal-cell function beyond DepMap	no relevant evidence identified in the searches performed	no relevant evidence identified in the searches performed	Neither has a published non-cancer-cell CRISPR/Perturb-seq essentiality data point identified in this or the prior phase.
Muscle liability	EXPRESSION_ONLY -- high HPA skeletal-muscle expression (54.1 nTPM) but ZERO functional muscle literature of any kind	NONE_IDENTIFIED for skeletal muscle; but DOCUMENTED_POSTNATAL_CAUSAL for CARDIAC muscle (PMID 31911272, zebrafish knockdown impairs cardiac contractile function)	Neither has a skeletal-muscle functional liability; VEZF1 has a real cardiac-muscle liability that USP34 does not.
Bone liability	DOCUMENTED_CAUSAL_POSTNATAL -- mouse conditional-KO (developmental promoter) impairs osteogenesis/BMP2-driven bone formation; human developmental limb-anomaly finding	INFERRED_ONLY -- no direct bone paper	USP34 has materially stronger bone evidence.
Marrow liability	EXPRESSION_ONLY -- no functional hematological literature identified	INFERRED_ONLY -- bone-marrow expression is real but protein-level evidence is discordant; no functional marrow-suppression literature identified	Neither has a demonstrated marrow-suppression liability.
Cardiovascular liability	INSUFFICIENT_DATA -- not deeply searched this pass beyond baseline expression	DOCUMENTED_POSTNATAL_CAUSAL -- PMID 31911272 (zebrafish knockdown impairs cardiac growth/contractile function) plus DOCUMENTED_DEVELOPMENTAL embryonic-lethal vascular knockout (PMID 15882861); one disputed human cardiomyopathy family	This is VEZF1's most significant liability finding of the whole phase.
CNS liability	DOCUMENTED_DEVELOPMENTAL -- human heterozygous LoF neurodevelopmental syndrome (PMID 42315110)	no relevant evidence identified in the searches performed	USP34 has a real, human, developmental CNS finding; VEZF1 does not (in the searches performed).
Genetic constraint	LOEUF=0.152 (most constrained of the original four candidates), pLI=1.0, 29/620 ClinVar variants pathogenic/likely-pathogenic	LOEUF=0.24, pLI=1.0, 17/86 ClinVar variants pathogenic/likely-pathogenic	Both strongly constrained; USP34 more so. Constraint reflects purifying selection against germline LoF, not adult drug toxicity.
Novelty	a real catalytic-domain structure exists but zero chemical matter -- a genuinely novel, unexploited DUB target	one weak tool-compound series 7 years old (2018); the TEAD1 indirect-target hypothesis identified this pass is itself novel and previously undocumented in this project	Both are under-exploited; VEZF1's indirect-target angle is the more novel finding of this phase.
Translational feasibility (near-term)	requires de novo structure-based drug discovery against a real but unexploited catalytic pocket -- multi-year medicinal-chemistry program	direct modality remains poorly feasible near-term; the TEAD1 indirect-target hypothesis is testable NOW with an existing clinical-stage chemotype, if the VEZF1-TEAD1 link can first be confirmed in breast cancer cells	VEZF1's indirect route is the more near-term-testable hypothesis of the two, contingent on the confirmatory experiment below.
