candidate	organ_system	classification	evidence_summary	species	reversible_or_developmental	zygosity	relevance_to_partial_inhibition	sources
USP34	Skeletal muscle	EXPRESSION_ONLY	High HPA bulk/single-cell expression (54.1 nTPM; myonuclei 766.5 nCPM), but a targeted PubMed search this pass (USP34 AND skeletal muscle/myocyte/myoblast/myotube/satellite cell/muscle differentiation/regeneration/sarcomere/weakness/myopathy/muscular dystrophy/exercise/atrophy) returned ZERO hits (NCBI esearch, confirmed live 2026-08-14). No functional muscle role was identified in the searches performed for USP34 -- this is a live, reproducible, zero-hit targeted-query result, not an exhaustive claim that no such report could exist anywhere (e.g. in variant-level ClinVar annotations or non-indexed sources not covered by this search).	n/a (no functional evidence identified in the searches performed, in any species)	n/a	n/a	n/a -- expression-only finding cannot support a partial-inhibition liability claim	HPA (carried forward); NCBI eutils esearch (this pass, live query, 0 hits)
USP34	Bone	DOCUMENTED_POSTNATAL_CAUSAL	Guo et al. 2018 (PMID 30181118): human MSC knockdown inhibits osteogenic differentiation in vitro; mouse conditional knockout (MSC/pre-osteoblast-Cre, active during skeletal development/differentiation -- not adult-onset) causes low bone mass and impaired BMP2-driven regeneration via Smad1/RUNX2 destabilization.	Human (MSC, in vitro) + Mouse (conditional KO, postnatal-developmental)	developmental/postnatal conditional-KO phenotype; reversibility not tested	conditional homozygous deletion	the human MSC arm used siRNA/shRNA knockdown (partial knockdown, not complete germline KO) and still showed impaired differentiation -- some relevance to partial pharmacological inhibition, though not a drug study	PMID 30181118 (carried forward from druggability_safety phase)
USP34	Skeletal development (human, germline)	DOCUMENTED_DEVELOPMENTAL	Wigoda et al. 2026 (PMID 42315110): 6 individuals with heterozygous de novo USP34 LoF variants (5 confirmed de novo) -- neurodevelopmental syndrome including distal limb anomalies and craniofacial dysmorphism, overlapping 2p15p16.1 microdeletion syndrome.	Human, germline	developmental, congenital (present from birth) -- not an adult-onset or drug-induced phenotype	heterozygous	heterozygous LoF is itself a form of partial (50%) gene-dosage reduction, so this IS relevant context for a partial-inhibition drug, though the phenotype is congenital/developmental, not something a drug given to an adult would necessarily reproduce	PMID 42315110 (carried forward)
USP34	Marrow/hematological	EXPRESSION_ONLY	HPA bone-marrow bulk expression 35.5 nTPM; no functional hematological/marrow-suppression literature identified in the searches performed (this pass or the prior phase).	n/a	n/a	n/a	n/a	HPA (carried forward); this pass's PubMed searches
USP34	Cardiovascular	INSUFFICIENT_DATA	Broad but unremarkable cardiac GTEx expression (5.4-8.5 TPM); no targeted cardiovascular-function literature search specific to USP34 was completed this pass (scope limitation, disclosed).	n/a	n/a	n/a	n/a	GTEx v8 (carried forward); not independently searched further this pass
USP34	Neurological/cognitive	DOCUMENTED_DEVELOPMENTAL	The same Wigoda et al. 2026 (PMID 42315110) neurodevelopmental syndrome includes global developmental delay, speech impairment, and variable autism-spectrum features alongside the limb anomalies -- a real human developmental (not adult-onset) neurological finding from heterozygous LoF.	Human, germline	developmental, congenital	heterozygous	see bone entry above -- same paper, same caveat applies	PMID 42315110 (carried forward)
USP34	Other systems (liver, kidney, immune, GI, reproductive, endocrine)	EXPRESSION_ONLY	Broad GTEx/HPA expression across all systems; no organ-specific functional-liability literature identified beyond the bone/neurodevelopmental findings above (this pass's searches were not exhaustively repeated per-organ; see PubMed 'required for'/'synthetic lethal' search, 2 hits total, neither organ-specific beyond bone).	n/a	n/a	n/a	n/a	GTEx/HPA (carried forward); this pass's PubMed searches
VEZF1	Skeletal muscle	NONE_IDENTIFIED	A targeted PubMed search this pass (VEZF1 AND skeletal muscle/myocyte/myoblast/myotube/satellite cell/muscle differentiation/regeneration/sarcomere/weakness/myopathy/muscular dystrophy/exercise/atrophy) returned 8 hits, but on individual review NONE describe a genuine skeletal-muscle function for VEZF1: one is an unrelated case report ('Numb is required for optimal contraction of skeletal muscle', PMID 35001540, does not substantively discuss VEZF1), one is a rare VEZF1 gene-fusion tumor case report unrelated to normal muscle physiology (PMID 40878061, uterine myxoid mesenchymal tumor), and the rest are vascular/cardiac papers (already captured under Cardiovascular below), not skeletal-muscle papers. No relevant skeletal-muscle-function evidence identified.	n/a	n/a	n/a	n/a	NCBI eutils esearch + esummary (this pass, live queries, 8 raw hits individually reviewed)
VEZF1	Cardiovascular	DOCUMENTED_POSTNATAL_CAUSAL	NEW this pass, not in the prior phase: Vezf1 regulates cardiac structure and contractile function (PMID 31911272, EBioMedicine). VEZF1 expression is DECREASED in diseased human myocardium and mouse hearts (correlative, human+mouse disease-association). Zebrafish Vezf1 knockdown REDUCES cardiac growth and impairs ventricular contractile response to beta-adrenergic stimuli (does not affect Ca2+ transient kinetics). VEZF1 regulates cardiac-muscle-contraction and dilated-cardiomyopathy-related genes; Myh7/beta-MHC identified as a direct target via an MCAT promoter element; TEAD-1 identified as a VEZF1 binding partner at this element.	Human (myocardium expression, correlative) + Mouse (heart expression, correlative) + Zebrafish (knockdown, causal) + primary cardiomyocytes (mechanistic)	postnatal/adult zebrafish knockdown -- not an embryonic/developmental-only model; reversibility not tested	knockdown (partial), not a genetic null	HIGH relevance -- knockdown (partial loss-of-function), not complete knockout, directly reduced cardiac growth/contractile function in an already-formed postnatal heart; this is the most drug-relevant liability finding identified for either gene in this phase	PMID 31911272 (new this pass, full abstract fetched and verified)
VEZF1	Vascular/endothelial (embryonic)	DOCUMENTED_DEVELOPMENTAL	Homozygous Vezf1-null mice: embryonic lethal at midgestation (angiogenic remodeling defects, hemorrhaging, defective endothelial adhesion/tight junctions), PMID 15882861 (carried forward). Heterozygous: ~20%-penetrant lymphatic hypervascularization with hemorrhaging/edema.	Mouse, germline	developmental, embryonic-lethal (homozygous) -- must not be extrapolated to adult drug toxicity	homozygous (lethal) and heterozygous (partial, incompletely penetrant) phenotypes both reported	the heterozygous (partial-dosage) phenotype is informative for partial-inhibition risk in principle, but is incompletely penetrant (~20%) and embryonic/developmental in origin, not adult	PMID 15882861 (carried forward)
