topic	PMID	title	journal	verification_note
USP34	21383061	USP34 regulates Wnt signaling by controlling the steady-state levels of Axin (paraphrased from abstract; exact PubMed title string not independently retyped)	unspecified (paraphrased title; do not quote as exact)	carried forward from druggability_safety phase: PMID/finding verified against primary text (catalytic mutagenesis, AXIN1 binding); title is paraphrased, not the exact PubMed string
USP34	35588869	Structural Insights into the Catalytic Mechanism and Ubiquitin Recognition of USP34	Journal of Molecular Biology	carried forward from druggability_safety phase: title independently confirmed via Codex's PubMed check during phase review; source of PDB 7W3R, 7W3U
USP34	30181118	Ubiquitin-specific protease USP34 controls osteogenic differentiation and bone formation by regulating BMP2 signaling	EMBO Journal	carried forward from druggability_safety phase: title independently confirmed via Codex's PubMed check during phase review; erratum EMBO J 2020;39(20):e105578
USP34	42315110	USP34 Haploinsufficiency as a Cause of Neurodevelopmental Phenotypes	Clinical Genetics	carried forward from druggability_safety phase: title independently confirmed via Codex's PubMed check during phase review; PMCID PMC13432289
VEZF1	29970794	Characterization of Small Molecules Inhibiting the Pro-Angiogenic Activity of the Zinc Finger Transcription Factor Vezf1	Molecules	carried forward from druggability_safety phase: title independently confirmed via Codex's PubMed check during phase review; PMCID PMC6100598
VEZF1	29794136	Vezf1 represses Cited2 (paraphrased from abstract; exact PubMed title string not independently retyped)	Journal of Biological Chemistry	carried forward from druggability_safety phase: PMID/finding verified via direct fetch; title is paraphrased, not the exact PubMed string
VEZF1	24280686	RhoB controls coordination of adult angiogenesis and lymphangiogenesis following injury by regulating VEZF1-mediated transcription	Nature Communications	carried forward from druggability_safety phase: fully verified; PMCID PMC3868161
VEZF1	36923254	ETV2 and VEZF1 interaction and regulation of the hematoendothelial lineage during embryogenesis	Frontiers in Cell and Developmental Biology	carried forward from druggability_safety phase: fully verified
VEZF1	36241701	VEZF1/PAQR4 axis in hepatocellular carcinoma, STUB1-mediated VEZF1 degradation (paraphrased from abstract; exact PubMed title string not independently retyped)	Cancer Gene Therapy	carried forward from druggability_safety phase: secondary-sourced -- primary full text paywalled, findings from search-indexed content only; title is paraphrased
VEZF1	31064890	miR-191 targets VEZF1 in an ischemic-stroke angiogenesis model (paraphrased from abstract; exact PubMed title string not independently retyped)	Aging (Albany NY)	carried forward from druggability_safety phase: PMID/finding verified; title is paraphrased, not the exact PubMed string
VEZF1	15882861	Dosage-dependent requirement for mouse Vezf1 in vascular system development	Developmental Biology	carried forward from druggability_safety phase: fully verified via EuropePMC; cross-confirmed via MGI:1313291
VEZF1	9986727	Vezf1: A Zn finger transcription factor restricted to endothelial cells and their precursors	Developmental Biology	carried forward from druggability_safety phase: fully verified via EuropePMC; gene-discovery/expression paper, not a knockout paper
VEZF1	33231681	VEZF1 binding to G-quadruplex DNA at the VASH1 locus modulates alternative polyadenylation (paraphrased from abstract; exact PubMed title string not independently retyped)	Nucleic Acids Research	carried forward from druggability_safety phase: PMID/finding verified; title is paraphrased, not the exact PubMed string
VEZF1	31911272	Vezf1 regulates cardiac structure and contractile function	EBioMedicine	full abstract directly fetched and verified this pass; species=zebrafish+primary cardiomyocytes+human/mouse expression
VEZF1	14966113	p68RacGAP is a novel GTPase-activating protein that interacts with vascular endothelial zinc finger-1	Journal of Biological Chemistry	abstract directly fetched this pass; gene-symbol correspondence to ARHGAP22 not independently confirmed
VEZF1	40878061	Uterine Myxoid Mesenchymal Tumor With a Novel SS18::VEZF1 Gene Fusion, Lacking Worrisome Histological Features	Genes, Chromosomes & Cancer	title confirmed via NCBI esummary this pass; tangential, not used as functional evidence
USP34	35393473	Usp5, Usp34, and Otu1 deubiquitylases mediate DNA repair in Drosophila melanogaster	Scientific Reports	title confirmed via NCBI esummary this pass; Drosophila model, tangential to this phase's questions
USP34	33686052	USP34 regulates tooth root morphogenesis by stabilizing NFIC	International Journal of Oral Science	gap-pass: full text directly fetched and verified (PMC7940473/PMID 33686052 cross-confirmed via NCBI esummary); mouse Sp7-Cre conditional KO + human dental pulp cells; third documented USP34 developmental-mesenchymal-differentiation finding
USP34	38686761	BPTF promotes glioma development through USP34-mediated de-ubiquitination	Histology and Histopathology	gap-pass: abstract directly fetched; BPTF-USP34 directionality unresolved from abstract alone, flagged as ambiguous, not promoted as a lead
VEZF1 (TEAD1 context, not VEZF1-specific)	42050304	Estrogen promotes osteogenesis via YAP1-driven activation of ERalpha orchestrated through TEAD1 binding to the ERalpha promoter	Journal of Molecular Histology	gap-pass: title confirmed via NCBI esummary; establishes TEAD1-ERalpha relevance in an osteogenesis context, independent of VEZF1 -- background context only, not evidence for the VEZF1-TEAD1 hypothesis
VEZF1 (TEAD1 context, not VEZF1-specific)	40500464	Author Correction: Estrogen receptor activation remodels TEAD1 gene expression to alleviate hepatic steatosis	Molecular Systems Biology	gap-pass: title confirmed via NCBI esummary; establishes TEAD1-ER relevance in a hepatic-steatosis context, independent of VEZF1 -- background context only
