axis	finding	source
Hany CRISPR	effect=-1.848, FDR=0.00168 -- 2nd strongest by FDR, 4th strongest by effect, among the 13 sensitising hits	data/processed/labels.parquet (this project, verified this phase)
GSE118713 (cell-line resistance)	log2FC=-0.152, FDR=0.675 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE111151 (multi-background resistance)	log2FC=0.073, FDR=0.84 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE240112 (human recurrence)	log2FC=0.057, FDR=0.883 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE245601 (ACUTE 12h -- not resistance)	log2FC=-0.036, FDR=0.882 -- acute context only, never counted as resistance support	results/tables/cross_dataset_genomewide (this project)
TCGA-BRCA	not assessed in this project -- TCGA candidate analysis was only run for the original 4 (USP34/VEZF1/EML5/CITED2)	N/A -- evidence gap, not a null result
DepMap 26Q1 ER+/luminal dependency	median Chronos=-0.808, 82% of 11 ER+/luminal lines dependency-probability>0.5 -- the STRONGEST baseline cancer-cell dependency of any of the 4 focus genes (KDM1A/TLK2/USP34/VEZF1), including the frozen shortlist leaders.	DepMap 26Q1 CRISPRGeneEffect/CRISPRGeneDependency (this project, generic loader)
Structural biology	TLK2 HAS a real experimental structure: PDB 5O0Y, the human TLK2 kinase domain, 2.86A resolution, bound to AGS (ATP-gamma-S, a non-hydrolysable ATP analog -- a substrate mimetic, not a small-molecule inhibitor or drug). Correction to this analysis's earlier draft, which incorrectly implied TLK2 had no structure at all -- see 06b_structural_tractability_audit.tsv for the full facet-by-facet breakdown.	RCSB PDB 5O0Y; Nature Communications 2018 (s41467-018-04941-y); web-verified 2026-08-15
Independent literature: amplification/prognosis	TLK2 is reported amplified in ~10.5% of ER+ breast tumors in independent published work, with overexpression associated with more aggressive/advanced tumors and worse clinical outcomes regardless of endocrine-therapy status -- external genetic/prognostic support independent of this project's CRISPR screen.	Nature Communications 2016 (ncomms12991, TLK2 functional analysis in luminal breast cancer); web-verified 2026-08-15
Independent literature: mechanism	Published work reports TLK2 inhibition/deletion downregulates ERalpha, BCL2 and SKP2, impairs G1/S progression, induces apoptosis, improves progression-free survival in vivo (mouse models), and blocks lung metastasis in a breast-cancer model -- substantive independent preclinical mechanistic support.	AACR 2024 abstract A017 (Targeting TLK2 impairs breast cancer growth); web-verified 2026-08-15
Existing pharmacology / inhibitors	No potent, selective TLK2 inhibitor has reached clinical development. The main obstacle reported in the literature is close kinase-domain sequence homology with the TLK1 paralog, making selective inhibition difficult. Only early-stage, narrow-spectrum chemical tool compounds have been reported (structure-activity-relationship optimization stage, not clinical candidates).	ScienceDirect 2024 (TLK2 QSAR narrow-spectrum inhibitor discovery); web-verified 2026-08-15
Clinical development status	No clinical-stage TLK2 inhibitor identified in this search -- earliest-stage of the 4 focus genes for direct pharmacological targeting.	web-verified 2026-08-15 (WebSearch; absence of a positive result, not an exhaustive registry search)
Toxicity / normal-tissue concerns	Not independently assessed in this project. TLK2 has a broader normal-tissue biological role in chromatin assembly/replication (Tousled-like kinase family, ASF1 substrate) -- a generic replication-machinery liability concern common to this target class, not specifically evaluated here.	general TLK2 biology; not independently re-verified against a specific primary source this phase -- flagged as an assessment gap
Novelty for this project's objective	MODERATE-HIGH novelty as a tamoxifen-response modifier: TLK2's prior literature is about amplification/prognosis and general ERalpha-pathway involvement in breast cancer, not specifically about acute tamoxifen-response modulation -- the Hany CRISPR hit is a comparatively novel functional link in that specific context, even though TLK2 itself is an established breast-cancer gene.	synthesis of the literature rows above
