candidate	PMID	title	journal	year	verification_note
USP34	21383061	USP34 regulates Wnt signaling by controlling the steady-state levels of Axin (paraphrased from abstract; exact PubMed title string not independently retyped)	unspecified (paraphrased title; do not quote as exact)	2011	PMID/finding verified against primary text (catalytic mutagenesis, AXIN1 binding); title is paraphrased, not the exact PubMed string
USP34	35588869	Structural Insights into the Catalytic Mechanism and Ubiquitin Recognition of USP34	Journal of Molecular Biology	2022	title independently confirmed via Codex's PubMed check during phase review; source of PDB 7W3R, 7W3U
USP34	30181118	Ubiquitin-specific protease USP34 controls osteogenic differentiation and bone formation by regulating BMP2 signaling	EMBO Journal	2018	title independently confirmed via Codex's PubMed check during phase review; erratum EMBO J 2020;39(20):e105578
USP34	42315110	USP34 Haploinsufficiency as a Cause of Neurodevelopmental Phenotypes	Clinical Genetics	2026	title independently confirmed via Codex's PubMed check during phase review; PMCID PMC13432289
VEZF1	29970794	Characterization of Small Molecules Inhibiting the Pro-Angiogenic Activity of the Zinc Finger Transcription Factor Vezf1	Molecules	2018	title independently confirmed via Codex's PubMed check during phase review; PMCID PMC6100598
VEZF1	29794136	Vezf1 represses Cited2 (paraphrased from abstract; exact PubMed title string not independently retyped)	Journal of Biological Chemistry	2018	PMID/finding verified via direct fetch; title is paraphrased, not the exact PubMed string
VEZF1	24280686	RhoB controls coordination of adult angiogenesis and lymphangiogenesis following injury by regulating VEZF1-mediated transcription	Nature Communications	2013	fully verified; PMCID PMC3868161
VEZF1	36923254	ETV2 and VEZF1 interaction and regulation of the hematoendothelial lineage during embryogenesis	Frontiers in Cell and Developmental Biology	2023	fully verified
VEZF1	36241701	VEZF1/PAQR4 axis in hepatocellular carcinoma, STUB1-mediated VEZF1 degradation (paraphrased from abstract; exact PubMed title string not independently retyped)	Cancer Gene Therapy	2022	secondary-sourced -- primary full text paywalled, findings from search-indexed content only; title is paraphrased
VEZF1	31064890	miR-191 targets VEZF1 in an ischemic-stroke angiogenesis model (paraphrased from abstract; exact PubMed title string not independently retyped)	Aging (Albany NY)	2019	PMID/finding verified; title is paraphrased, not the exact PubMed string
VEZF1	15882861	Dosage-dependent requirement for mouse Vezf1 in vascular system development	Developmental Biology	2005	fully verified via EuropePMC; cross-confirmed via MGI:1313291
VEZF1	9986727	Vezf1: A Zn finger transcription factor restricted to endothelial cells and their precursors	Developmental Biology	1999	fully verified via EuropePMC; gene-discovery/expression paper, not a knockout paper
VEZF1	33231681	VEZF1 binding to G-quadruplex DNA at the VASH1 locus modulates alternative polyadenylation (paraphrased from abstract; exact PubMed title string not independently retyped)	Nucleic Acids Research	2020	PMID/finding verified; title is paraphrased, not the exact PubMed string
EML5	15225882	Isolation and mapping of an EML family member (rat ortholog description)	Gene	2004	fully verified; O'Connor et al., describes 11 WD40 + 3 HELP domain architecture in rat ortholog
EML5	31406157	SPATA7-PTPN21-ZC3H14-EML5-TTC8 locus association study	Scientific Reports	2019	fully verified; source of genomic-neighbor caveat on STRING associations
EML5	17625570	Identification of the transforming EML4-ALK fusion gene in non-small-cell lung cancer	Nature	2007	fully verified; family-level context only, NOT EML5-specific
EML5	26730336	EML5 expression in resected epileptic neocortex	Iranian Journal of Basic Medical Sciences	2015	fully verified; PMCID PMC4686571; diseased (epilepsy), not normal, human tissue
EML5	35478957	A Non-Synonymous Point Mutation in a WD-40 Domain Repeat of EML5 Leads to Decreased Bovine Sperm Quality and Fertility	Frontiers in Cell and Developmental Biology	2022	fully verified; explicitly bovine (Bos taurus), not human
CITED2	12778114	Structural basis for negative regulation of hypoxia-inducible factor-1alpha by CITED2	Nature Structural Biology	2003	fully verified; source of PDB 1P4Q
CITED2	14594809	Interaction of the TAZ1 domain of the CREB-binding protein with the activation domain of CITED2: regulation by competition between intrinsically unstructured ligands for non-identical binding sites	Journal of Biological Chemistry	2004	exact title independently confirmed via Codex's PubMed check during phase review; source of PDB 1R8U
CITED2	16287139	CITED2 in-frame variants and congenital heart defects, VSD2/ASD8 (paraphrased from abstract; exact PubMed title string not independently retyped)	Human Mutation	2005	PMID/finding verified via UniProt DISEASE CC cross-reference (Sperling et al.); title is paraphrased, not the exact PubMed string
CITED2	19951693	Cited2 is an essential regulator of adult hematopoietic stem cells	Cell Stem Cell	2009	fully verified; mouse conditional KO + human confirmatory data
CITED2	22308296	HIF-1alpha deletion partially rescues defects of hematopoietic stem cell quiescence caused by Cited2 deficiency	Blood	2012	fully verified; mouse Mx1-Cre conditional KO
CITED2	34715054	CITED2 coordinates key hematopoietic regulatory pathways to maintain the HSC pool in both steady-state hematopoiesis and transplantation	Stem Cell Reports	2021	fully verified; mouse hematopoietic-specific deletion
CITED2	25184385	CITED2-mediated human hematopoietic stem cell maintenance is critical for acute myeloid leukemia	Leukemia	2015	fully verified; human primary CD34+ cells, NSG xenografts, primary AML
CITED2	33288951	Stepwise cell fate decision pathways during osteoclastogenesis at single-cell resolution	Nature Metabolism	2020	fully verified; mouse single-cell transcriptomics + in vivo lineage-specific deletion; direct causal osteoclast-differentiation finding
CITED2	19607804	Identification of CITED2 as a negative regulator of fracture healing	Biochemical and Biophysical Research Communications	2009	fully verified; rat mandibular osteotomy model
CITED2	12960175	CITED2-mediated regulation of MMP-1 and MMP-13 in human chondrocytes under flow shear	Journal of Biological Chemistry	2003	fully verified; human chondrocyte cell line C-28/I2
CITED2	20826544	Physiological loading of joints prevents cartilage degradation through CITED2	FASEB Journal	2011	fully verified; rat in vivo + human chondrocytes in vitro
CITED2	33691475	Downregulation of SUV39H1 and CITED2 Exerts Additive Effect on Promoting Adipogenic Commitment of Human Mesenchymal Stem Cells	Stem Cells and Development	2021	fully verified; human MSCs
CITED2	11694877	Cardiac malformations, adrenal agenesis, neural crest defects and exencephaly in mice lacking Cited2, a new Tfap2 co-activator	Nature Genetics	2001	fully verified; constitutive mouse knockout, embryonic lethal
CITED2	12149478	The essential role of Cited2, a negative regulator for HIF-1alpha, in heart development and neurulation	Proceedings of the National Academy of Sciences	2002	fully verified; constitutive mouse knockout
CITED2	15750185	Cited2 is required both for heart morphogenesis and establishment of the left-right axis in mouse development	Development	2005	fully verified; constitutive mouse knockout
