axis	finding	source
Hany CRISPR	effect=-2.167, FDR=0.000385 -- strongest sensitising hit in the entire screen by both effect size and FDR (rank 1/13 both)	data/processed/labels.parquet (this project, verified this phase)
GSE118713 (cell-line resistance)	log2FC=0.147, FDR=0.494 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE111151 (multi-background resistance)	log2FC=0.071, FDR=0.906 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE240112 (human recurrence)	log2FC=0.192, FDR=0.592 -- not significant	results/tables/cross_dataset_genomewide (this project)
GSE245601 (ACUTE 12h -- not resistance)	log2FC=-0.215, FDR=0.369 -- acute context only, never counted as resistance support	results/tables/cross_dataset_genomewide (this project)
TCGA-BRCA	not assessed in this project -- TCGA candidate analysis was only run for the original 4 (USP34/VEZF1/EML5/CITED2)	N/A -- evidence gap, not a null result
DepMap 26Q1 ER+/luminal dependency	median Chronos=-0.137, 0% of 11 ER+/luminal lines dependency-probability>0.5 -- weak/no baseline dependency, similar profile to USP34	DepMap 26Q1 CRISPRGeneEffect/CRISPRGeneDependency (this project, generic loader)
Blind-control status (project-specific)	KDM1A was one of 2 pre-registered BLIND positive controls (PREANALYSIS.md Section 5); never inspected/reported at gene level until the 2026-08-10 amendment formally retired the blind. Its recovery as the single strongest sensitising hit (rank 1/13) is itself the pre-registered validity check the blind was designed to enable.	PREANALYSIS.md Section 5 and 2026-08-10 amendments (this project)
Structural biology	KDM1A/LSD1 has extensive experimental structural coverage, including multiple inhibitor-bound co-crystal structures (e.g. PDB 6NQU with GSK2879552; tranylcypromine-scaffold covalent inhibitors e.g. PDB 2Z5U) -- structurally the most extensively characterized of the 4 focus genes, consistent with its clinical-stage pharmacology. See 06b_structural_tractability_audit.tsv for the full facet-by-facet breakdown.	MDPI Molecules 23:1538 / PMC6099836 (PDB 6NQU); web-verified 2026-08-15
Mechanistic literature: ER/ERa biology	LSD1/KDM1A is a well-established ER-corepressor-complex (CoREST) component with independent, pre-existing literature linking it to estrogen-receptor signalling and endocrine-therapy response -- this is WHY it was chosen as a blind positive control in the first place, not a new finding of this project.	PREANALYSIS.md Section 5 (cites prior literature); independently corroborated by 2026-08-15 web search below
Mechanistic literature: endocrine resistance	Independent, external literature reports that LSD1 and KDM6A/UTX co-express and co-localize with ER in breast cancer, and that reducing LSD1 activity can prevent resistance to antitumor agents in breast cancer models -- external mechanistic support for a tamoxifen-relevant role, independent of this project's own CRISPR screen.	PMC9932783 (LSD1 inhibitors for cancer treatment review); web-verified 2026-08-15
Existing pharmacology / inhibitors	Multiple LSD1/KDM1A inhibitors exist and are in active clinical development. Iadademstat (ORY-1001) is an orally active, highly potent, selective LSD1 inhibitor with Orphan Drug Designation (AML, SCLC) as of 2026 -- not yet FDA-approved for any indication, but the most translationally advanced compound of any gene compared in this sensitivity analysis, including USP34. It has published, breast-cancer-specific preclinical data (targets SOX2-driven breast cancer stem cells in luminal-B/HER2+ subtypes).	PMC7138538 / PMID 32191225 (Iadademstat breast cancer stem cell paper); Oryzon Genomics pipeline; web-verified 2026-08-15
Clinical development status	Iadademstat: Orphan Drug Designation (AML, SCLC), multiple clinical trials completed/ongoing as of 2026, described in recent coverage as a 'best-in-class' LSD1 inhibitor candidate. No breast-cancer-specific trial identified in this search. Several other LSD1 inhibitors are also in clinical trials for other cancers (per the same literature review).	web-verified 2026-08-15 (WebSearch; no direct primary-registry cross-check performed -- treat as literature-reported status, not independently confirmed against a trial registry)
Toxicity / normal-tissue concerns	Not independently assessed in this project (no GTEx/HPA/liability table was built for KDM1A here, unlike USP34/VEZF1). LSD1 is broadly essential in normal hematopoiesis and neurodevelopment in the published literature (a widely-cited concern for LSD1-inhibitor clinical programs generally, e.g. thrombocytopenia as a class effect) -- this is a known, generic LSD1-inhibitor-class liability, not specific to this project's data.	general LSD1-inhibitor-class knowledge; not independently re-verified against a specific primary source this phase -- flagged as an assessment gap
Novelty for this project's objective	LOW novelty as a tamoxifen-response modifier specifically -- KDM1A/LSD1's role in ER signalling and endocrine therapy is well-established prior literature (indeed, that established role is WHY the project chose it as a blind positive control). Its value here is as a validity check on the screen, and as a strong functional hit, not as a novel discovery.	PREANALYSIS.md Section 5 (this project's own framing)
