candidate	question	answer
USP34	Does USP34 expression associate with any existing drug response?	Yes. 9 of 1,278 drug-tests (breast lines, N>=15, both metrics, both screens) reach FDR<0.05, all in GDSC1, all with the SAME direction (higher USP34 expression -> more sensitive, i.e. lower LN_IC50/AUC).
USP34	Any FDR-significant hits?	Yes, 9: AZD7762 (CHEK1/CHEK2, FDR=0.0078-0.0084, both LN_IC50 and AUC), FGFR_3831 (FGFR1-4, FDR=0.0248), Sphingosine Kinase 1 Inhibitor II (FDR=0.0248), JAK1_3715 (FDR=0.0248), AZD1332 (NTRK1-3, FDR=0.0248), AZD6738 (ATR, FDR=0.0248), LDN-193189 (BMP, FDR=0.0439), Ara-G (anti-metabolite, FDR=0.0458). Full detail: USP34_GDSC_drug_associations.tsv / GDSC_top_associations.tsv.
USP34	Any consistent cross-screen signal?	Partial. AZD7762 (CHEK1/CHEK2) is the strongest example: FDR-significant in GDSC1 under DRUG_ID 1402 only (the other GDSC1 re-screening batch, DRUG_ID 1022, is directionally consistent but NOT FDR-significant: FDR=0.174-0.350) AND shows a nominally significant, SAME-direction signal in GDSC2 (rho=-0.372, p=0.011) that does not survive its own within-screen FDR correction. This is the closest thing to cross-screen consistency found; no other hit drug reaches even nominal significance in the other screen.
USP34	Most biologically coherent pathway?	Two candidates, both PATHWAY_LEVEL_CONNECTION (not DIRECT_TARGET): (1) CHEK1/CHEK2 (AZD7762) -- CHEK1 itself is directionally consistent (sensitising_KO) but not FDR-significant in this project's own frozen Hany CRISPR screen (FDR=0.812); it IS nominally FDR-significant in this project's frozen GSE118713 transcriptomic tamoxifen-resistance dataset (FDR=0.0497, down_in_TAMR direction), a real cross-dataset echo. (2) BMP (LDN-193189) -- directly coherent with USP34's own established BMP2/Smad1/RUNX2 osteogenesis mechanism from the druggability_safety phase, though this signal did not replicate in the small ER+/luminal subset.
USP34	Any realistic hypothesis worth future testing?	Yes, as a hypothesis, not a validated combination: whether USP34 perturbation sensitises resistant ER+ cells to CHK1/CHK2 inhibition (a DNA-damage-response combination hypothesis) is worth a dedicated follow-up given the cross-dataset (GDSC correlation + GSE118713 nominal down-in-TAMR signal for CHEK1) convergence on the CHEK1/CHEK2 axis -- but this is a NEW hypothesis about a CHK1/CHK2 co-target, not evidence bearing on the tamoxifen-sensitisation hypothesis itself, and is not incorporated into EXP-1's core design in this phase.
USP34	Does GDSC alter USP34 = LEAD?	No. Nothing in this analysis strengthens or weakens the frozen USP34=LEAD conclusion -- tamoxifen and fulvestrant themselves show no significant USP34 association in GDSC breast lines (consistent with, not contradictory to, the Hany finding, since GDSC tests baseline/unperturbed expression-vs-response correlation across a cross-sectional cell-line panel, a different question from Hany's CRISPR-perturbation-plus-tamoxifen design). The new CHEK1/CHEK2 finding is an interesting adjacent hypothesis, not a change to the frozen lead conclusion.
VEZF1	Does VEZF1 expression associate with any drug response?	No FDR-significant association with any of the 1,278 drug-tests performed (breast lines, N>=15). Best nominal signal: Paclitaxel (microtubule/mitosis), p=0.0005, FDR=0.132 -- does not survive correction.
VEZF1	Any FDR-significant hits?	None.
VEZF1	Any consistent cross-screen signal?	No -- with zero FDR-significant hits in either screen, there is nothing to check for cross-screen consistency.
VEZF1	Any Hippo/TEAD relevance?	Cannot be tested: GDSC Release 8.5 contains ZERO TEAD/YAP/Hippo-pathway compounds of any kind (confirmed by direct compound-list search). This is an absence of the necessary chemical matter in GDSC, not a negative pharmacogenomic finding about the VEZF1-TEAD1 hypothesis.
VEZF1	Any credible indirect pharmacological opportunity?	None identified in this GDSC analysis. No drug-response association reaches significance, and the one mechanistically-relevant drug class this project has flagged for VEZF1 (TEAD inhibitors) is entirely absent from GDSC.
VEZF1	Does GDSC materially increase VEZF1 translational feasibility?	No. This is a negative result, reported as such rather than reframed -- consistent with VEZF1's already-documented poor direct/indirect druggability from the prior lead_target_deep_dive phase.
VEZF1	Does GDSC alter VEZF1 = BACKUP?	No. The frozen VEZF1=SECOND/BACKUP conclusion is unchanged; this analysis adds a further negative data point (no pharmacogenomic drug-response signal in GDSC) consistent with, not contradicting, VEZF1's already-established poor current druggability.
