candidate	system	tissue_or_celltype	rna_expression	protein_expression	single_cell_expression	data_status	source
USP34	Brain/CNS	Cerebellum (bulk)	GTEx v8 27.6 TPM; HPA consensus 62.9 nTPM	no data located this pass	no data located this pass	RNA only	GTEx v8 API; HPA rna_tissue_consensus.tsv (carried forward from druggability_safety phase)
USP34	Brain/CNS	Other cortical/subcortical regions	GTEx v8 range 6.6-27.6 TPM across 13 brain subregions	no data located this pass	NEW (gap-pass): HPA's own brain single-nuclei RNA-seq dataset (distinct from bulk GTEx) shows USP34's HIGHEST brain-region value in choroid plexus (68.1 nTPM), with 'low human brain regional specificity' overall (HPA JSON API, directly queried). A per-cell-type breakdown specifically resolving excitatory/inhibitory neurons vs astrocytes vs oligodendrocytes vs microglia was NOT retrievable via this pass's tooling (the interactive single-cell visualization is JS-rendered and not exposed via the static JSON/HTML endpoints queried) -- this remains a genuine, disclosed gap, not a negative finding.	RNA only, bulk + one snRNA-seq region-level value	GTEx v8 API; HPA JSON API (this pass, brain snRNA-seq section)
USP34	Cardiovascular	Heart (ventricle/atrium, bulk)	GTEx v8: Left Ventricle 5.44 TPM, Atrial Appendage 8.50 TPM; HPA heart muscle 35.4 nTPM	no data located this pass	cardiomyocyte/endothelial/smooth-muscle/pericyte-resolved USP34 expression: not independently re-queried this pass	RNA only, bulk tissue	GTEx v8 API; HPA (carried forward)
USP34	Musculoskeletal	Skeletal muscle (bulk)	GTEx v8 13.93 TPM; HPA consensus 54.1 nTPM (3rd-highest of 50 HPA tissues)	no data located this pass	HPA single-cell: 'myonuclei' 766.5 nCPM (2nd-highest of 154 HPA cell types), carried forward from prior phase, not independently re-fetched this pass to reconfirm the exact number	RNA bulk + one single-cell entry	GTEx v8 API; HPA rna_single_cell_type.tsv (carried forward)
USP34	Musculoskeletal	Bone marrow (bulk)	HPA consensus 35.5 nTPM	no data located this pass	No osteoblast/osteocyte/osteoclast/chondrocyte/skeletal-MSC entry exists in HPA's single-cell atlas (154 cell types, none bone-lineage) -- confirmed absent again this pass. NEW (gap-pass): at least three dedicated human bone/bone-marrow single-cell atlases were identified as existing (a pediatric bone-marrow multiomic atlas, Nat Immunol; a 673,750-cell bone-marrow reference atlas with annotated osteoclasts/MSCs; a human primary-osteoblast single-cell dissection, PMC8436943) -- but none could be queried for a USP34-specific expression value with this pass's tooling (they are primary-paper supplementary datasets, not simple per-gene lookup portals). This is an explicit, disclosed limitation: the atlases exist, a targeted per-gene lookup within them was not feasible in the searches performed.	RNA bulk only; cell-type-resolved bone data absent (atlases exist but were not queryable this pass)	HPA (carried forward); WebSearch this pass (atlas existence only, not gene-level query)
USP34	Hematopoietic/immune	Whole blood + immune cell subsets	GTEx whole blood 4.28 TPM (comparative low point); HPA immune single-cell 0.6-4.2 TPM range across 18 cell types, 'Low immune cell specificity'	no data located this pass	HPA immune single-cell atlas (carried forward)	RNA bulk + single-cell	GTEx v8 API; HPA rna_immune_cell.tsv (carried forward)
USP34	Breast	Mammary tissue (bulk)	GTEx v8 18.61 TPM; HPA consensus 34.1 nTPM	no data located this pass	luminal/basal-myoepithelial/stromal/adipocyte-resolved USP34 expression: not independently re-queried this pass	RNA bulk only	GTEx v8 API; HPA (carried forward)
USP34	Other organs	Liver, kidney, lung, GI tract, pancreas, endocrine, adipose, skin, reproductive	broadly expressed, low tissue specificity (Tau 0.14); liver lowest GTEx tissue (4.06 TPM); see candidate_normal_tissue_context.tsv from the prior phase for the full per-tissue table	no data located this pass	NEW (gap-pass): HPA's single-cell-type enrichment analysis (Tabula Sapiens-derived) calls USP34's HIGHEST single cell type as Sertoli cells (786.9 nCPM, testis), with additional enrichment in adrenal cortex cells and testicular spermatocytes/spermatogonia (HPA JSON API, directly queried). No enrichment call exists for liver, kidney, lung, GI, pancreatic, or skin cell types specifically -- overall cluster is 'Non-specific - Transcription (mainly).'	RNA bulk + single-cell enrichment calls (not full per-cell-type table)	GTEx v8 API; HPA (carried forward); HPA JSON API (this pass)
VEZF1	Brain/CNS	Corpus callosum / cerebral cortex	HPA highest single value: corpus callosum, genu (white matter) 95.6 nTPM; GTEx v8 range 7.9-23.9 TPM across 13 brain subregions	no data located this pass	NEW (gap-pass): HPA's brain snRNA-seq cluster call for VEZF1 is 'White matter - Signal transduction (mainly)' (HPA JSON API, directly queried), consistent with the corpus-callosum (white-matter) enrichment. A per-cell-type breakdown resolving excitatory/inhibitory neurons vs astrocytes vs oligodendrocytes vs microglia was NOT retrievable via this pass's tooling (JS-rendered interactive visualization) -- disclosed gap, not a negative finding.	RNA only, bulk + one snRNA-seq region-level value	GTEx v8 API; HPA (carried forward); HPA JSON API (this pass)
VEZF1	Cardiovascular	Heart (ventricle/atrium, bulk) + cardiomyocytes	GTEx v8: Left Ventricle 14.1 TPM, Atrial Appendage 18.7 TPM	no data located this pass	NEW this pass: primary cardiomyocyte functional data exists (not expression atlas, but functional) -- see PMID 31911272 in liability table; endothelial/smooth-muscle/pericyte-resolved bulk-adjacent expression not independently re-queried	RNA bulk + functional (cardiomyocyte)	GTEx v8 API (carried forward); PMID 31911272 (new this pass)
