claim	verification	status
KDM1A Hany effect ~-2.17, FDR ~3.85e-4	VERIFIED, exact: effect=-2.167336, FDR=3.849877e-04	CORRECT
TLK2 Hany effect ~-1.85, FDR ~0.0017	VERIFIED, exact: effect=-1.848198, FDR=1.675831e-03	CORRECT
VEZF1 Hany effect ~-1.60, FDR ~0.0373	VERIFIED, exact: effect=-1.602445, FDR=3.725757e-02	CORRECT
USP34 Hany effect ~-1.39, FDR ~0.0417	VERIFIED, exact: effect=-1.391298, FDR=4.168518e-02	CORRECT
Sign convention: negative Hany effect = sensitising KO	VERIFIED against src/labels.py docstring and PREANALYSIS.md Section 2, verbatim: 'Negative = more depleted under 4-OHT (candidate knockout sensitizes cells to tamoxifen)'	CORRECT
RNA differential expression was effectively required for freeze eligibility	VERIFIED exactly: src/evidence_freeze_shortlist_freeze.py determine_eligibility() hard-gates on `some_multimodal_support = (resistance_fdr05_count>=1) OR (human_tumor_support=='significant')` -- this IS a hard eligibility requirement in the implemented code, despite the module docstring's own opening sentence claiming 'RNA significance is explicitly NOT part of the eligibility gate' (a real internal documentation inconsistency, see claim below)	CORRECT
KDM1A/TLK2 excluded specifically because of the RNA/human-tumor corroboration gate, not because of weak CRISPR	VERIFIED exactly: freeze_eligibility_audit.tsv lists both with `_crispr_band=VERY_STRONG` (the strongest band) and `ineligibility_reason='no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)'`	CORRECT
This may have excluded stronger functional hits such as KDM1A and TLK2	VERIFIED: among the 13 significant sensitising Gate-1 hits, KDM1A ranks 1st by both effect and FDR; TLK2 ranks 4th by effect and 2nd by FDR. USP34 ranks 12th by effect and 10th by FDR (worst or near-worst of the 13). This project's own pre-existing List C (functional-sensitisation, RNA not required) already ranked KDM1A #1 and TLK2 #2, with USP34 absent from its top 5.	CORRECT
GSE118713 provides only one parental/resistant model, not independent resistance backgrounds	VERIFIED: GSE118713 = 1 parental MCF7 line -> 1 TAMR-derivation event + 1 FASR-derivation event, each with 3 replicate RNA-seq samples (technical/aliquot replicates of one derivation, not 3 independent derivations). GSE111151, not GSE118713, is this project's multi-background dataset (4 parental lines x 7 independently-derived TamR sublines).	CORRECT
GSE111151 has multiple independent biological backgrounds and should be weighted accordingly	VERIFIED: 4 distinct parental lines (MCF-7, T-47D, ZR-75-1, BT-474; BT-474 is HER2-amplified, a different molecular subtype), 7 independently-derived TamR sublines, n=1 per sample (no technical replicates), cell-line-blocked design (~cell_line + resistance_status).	CORRECT
GSE111151: none of KDM1A/TLK2/USP34/VEZF1 reach significance	VERIFIED: gse111151_fdr USP34=0.632, VEZF1=0.608, KDM1A=0.906, TLK2=0.840 -- all non-significant. Zero of the 12 GSE111151-testable significant sensitising Gate-1 hits reach FDR<0.05 (USP17L29 has no GSE111151 count-matrix entry and is untestable, not tested-and-null; Rule 3 eligible set is empty).	CORRECT
GSE240112 primary/recurrent tumors are matched/paired	INCORRECT AS DOCUMENTED: docs/DATA_PROVENANCE.md line 41 states 'matched primary/recurrent ER+ tumor pairs'. The project's own locked docs/GSE240112_PREANALYSIS.md Section C states explicitly: PT (OriGene Technologies Inc.) and RT (Ontario Tumor Bank) come from DIFFERENT source institutions, 'no pairing statement exists anywhere in the GEO metadata or paper Methods', design is unpaired (~group, contrast RT-PT). The frozen ANALYSIS itself was already correctly run as unpaired; only the DATA_PROVENANCE.md summary line was wrong.	DOCUMENTATION ERROR -- CORRECTED THIS PHASE (see Phase 10)
GDSC: 9 significant rows may represent only 8 unique compounds	VERIFIED exactly: 9 FDR<0.05 rows, 8 unique drug_id. AZD7762 is counted twice (AUC and LN_IC50, both GDSC1, both significant, same direction) -- the only drug significant in both metrics.	CORRECT
GDSC: most signals are LN_IC50-specific	VERIFIED: of the 9 significant rows, 8 are LN_IC50 and 1 are AUC (AZD7762 only).	CORRECT
GDSC: some corresponding AUC associations reverse direction	VERIFIED: of the 7 drugs significant only in LN_IC50, 2 (Sphingosine Kinase 1 Inhibitor II: rho -0.51 LN_IC50 vs +0.27 AUC; Ara-G: rho -0.48 LN_IC50 vs +0.13 AUC) show a sign flip in the AUC metric (both non-significant in AUC).	CORRECT
GDSC: no independent GDSC2 replication exists	VERIFIED: all 9 FDR-significant rows are GDSC1; 0 are GDSC2.	CORRECT
Environment: h5py missing from environment.yml despite being used	VERIFIED: src/gse245601_feature_check.py imports h5py at module level; tests/test_gse245601_feature_check.py imports that module (collection-breaking in a truly clean env). h5py was absent from environment.yml before this phase's fix.	CORRECT -- FIXED THIS PHASE (see Phase 11)
Environment: pandas version may cause incompatibility (implying an unpinned/risky spec)	VERIFIED as a genuine reproducibility gap: pandas was completely unpinned in environment.yml (a fresh install could resolve pandas 3.x, an untested major version). Additionally, gseapy, lifelines, networkx, and requests are all imported by real, test-covered source files but were also absent from environment.yml.	CORRECT -- FIXED THIS PHASE (see Phase 11)
Clean-environment test collection failures	NOT directly reproduced by rebuilding a fresh conda environment in this session (impractical/high-risk within this session's time budget); INSTEAD independently verified via static source-level dependency audit (every third-party top-level import across src/, tests/, scripts/ cross-checked against environment.yml) -- confirms the claim is plausible and the root causes (h5py + 4 other undeclared packages) are real and fixed.	PLAUSIBLE, ROOT CAUSE CONFIRMED AND FIXED -- NOT EMPIRICALLY RE-REPRODUCED FROM SCRATCH
