check	expected	actual	pass
sample_id_set_is_exactly_20_tumor_pairs	Tumor_01_Control,Tumor_01_Tamoxifen,Tumor_02_Control,Tumor_02_Tamoxifen,Tumor_03_Control,Tumor_03_Tamoxifen,Tumor_04_Control,Tumor_04_Tamoxifen,Tumor_05_Control,Tumor_05_Tamoxifen,Tumor_06_Control,Tumor_06_Tamoxifen,Tumor_07_Control,Tumor_07_Tamoxifen,Tumor_08_Control,Tumor_08_Tamoxifen,Tumor_09_Control,Tumor_09_Tamoxifen,Tumor_10_Control,Tumor_10_Tamoxifen	Tumor_01_Control,Tumor_01_Tamoxifen,Tumor_02_Control,Tumor_02_Tamoxifen,Tumor_03_Control,Tumor_03_Tamoxifen,Tumor_04_Control,Tumor_04_Tamoxifen,Tumor_05_Control,Tumor_05_Tamoxifen,Tumor_06_Control,Tumor_06_Tamoxifen,Tumor_07_Control,Tumor_07_Tamoxifen,Tumor_08_Control,Tumor_08_Tamoxifen,Tumor_09_Control,Tumor_09_Tamoxifen,Tumor_10_Control,Tumor_10_Tamoxifen	TRUE
exactly_one_control_and_one_tamoxifen_sample_per_patient	TRUE	TRUE	TRUE
epithelial_cell_counts_reproduce_frozen_summary_exactly	3334,2774,355,325,513,1105,151,70,2565,2795,4533,3422,360,446,906,984,1854,1989,416,278	3334,2774,355,325,513,1105,151,70,2565,2795,4533,3422,360,446,906,984,1854,1989,416,278	TRUE
strict_malignant_counts_reproduce_frozen_summary_exactly	1,2,134,183,276,582,0,1,22,12,9,19,80,146,17,25,48,119,61,2	1,2,134,183,276,582,0,1,22,12,9,19,80,146,17,25,48,119,61,2	TRUE
recomputed_track_b_eligibility_matches_frozen_pair_eligibility_table	Tumor_01=FALSE;Tumor_02=TRUE;Tumor_03=TRUE;Tumor_04=FALSE;Tumor_05=FALSE;Tumor_06=FALSE;Tumor_07=TRUE;Tumor_08=FALSE;Tumor_09=FALSE;Tumor_10=FALSE	Tumor_01=FALSE;Tumor_02=TRUE;Tumor_03=TRUE;Tumor_04=FALSE;Tumor_05=FALSE;Tumor_06=FALSE;Tumor_07=TRUE;Tumor_08=FALSE;Tumor_09=FALSE;Tumor_10=FALSE	TRUE
track_b_eligible_set_is_exactly_configured_patients	Tumor_02,Tumor_03,Tumor_07	Tumor_02,Tumor_03,Tumor_07	TRUE
candidate_gene_unique_in_feature_space__USP34	1	1	TRUE
candidate_gene_unique_in_feature_space__CTDNEP1	1	1	TRUE
candidate_gene_unique_in_feature_space__EIF4ENIF1	1	1	TRUE
candidate_gene_unique_in_feature_space__HMGB1	1	1	TRUE
candidate_gene_unique_in_feature_space__KDM1A	1	1	TRUE
candidate_gene_unique_in_feature_space__PET117	1	1	TRUE
candidate_gene_unique_in_feature_space__TADA2B	1	1	TRUE
candidate_gene_unique_in_feature_space__VEZF1	1	1	TRUE
candidate_gene_unique_in_feature_space__TLK2	1	1	TRUE
candidate_gene_unique_in_feature_space__ICK	1	1	TRUE
candidate_gene_unique_in_feature_space__SUPT4H1	1	1	TRUE
candidate_gene_unique_in_feature_space__TSR3	1	1	TRUE
candidate_gene_unique_in_feature_space__USP17L29	1	1	TRUE
candidate_gene_unique_in_feature_space__PAICS	1	1	TRUE
